URI,Album,Song Name,Artist,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
1PS1QMdUqOal0ai3Gt7sDQ,Late Registration,Gold Digger,Kanye West; Jamie Foxx,1,4,79,True,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,207627,4
6FE2iI43OZnszFLuLtvvmg,MKTO,Classic,MKTO,1,2,79,False,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,175427,4
2bL2gyO6kBdLkNSkxXNh6x,V,Animals,Maroon 5,1,2,79,False,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868,231013,4
78QR3Wp35dqAhFEc2qAGjE,Drip Harder,Drip Too Hard (Lil Baby & Gunna),Lil Baby; Gunna,1,12,79,True,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.39,112.509,145543,4
3rdAz1fbUfZxYgaCviYhRo,VICE VERSA,Todo De Ti,Rauw Alejandro,1,1,79,True,0.78,0.719,3,-3.613,0,0.0506,0.302,0.000196,0.0931,0.336,127.962,199604,4
5B5eTk7DF8KVp1zpQoY1XY,The Reason (20th Anniversary),The Reason,Hoobastank,1,8,79,False,0.474,0.671,4,-4.649,1,0.0289,0.0129,0.0,0.159,0.0682,82.94,232800,4
1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (Em Beihold Version),Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez; Em Beihold,1,1,79,False,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,176440,3
04aAxqtGp5pv12UXAg4pkq,American Beauty/American Psycho,Centuries,Fall Out Boy,1,3,79,False,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,228360,4
2eAZfqOm4EnOF9VvN50Tyc,Luv Is Rage 2,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert; Oh Wonder,1,5,79,True,0.703,0.757,1,-3.612,1,0.05,0.617,0.0,0.106,0.696,82.008,221747,4
7a53HqqArd4b9NF4XAmlbI,Heaven & Hell,Kings & Queens,Ava Max,1,3,79,False,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,162399,4
2ekn2ttSfGqwhhate0LSR0,Dua Lipa (Deluxe),New Rules,Dua Lipa,1,10,79,False,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,4
5D2mYZuzcgjpchVY1pmTPh,The Massacre,Candy Shop,50 Cent; Olivia,1,7,79,True,0.613,0.574,11,-7.961,1,0.467,0.0253,3.13e-05,0.38,0.755,125.18,209107,5
1rqqCSm0Qe4I9rUvWncaom,Pray for the Wicked,High Hopes,Panic! At The Disco,1,4,79,False,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4
64BbK9SFKH2jk86U3dGj2P,Californication (Deluxe Edition),Otherside,Red Hot Chili Peppers,1,4,79,False,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4
3BovdzfaX4jb5KFQwoPfAw,Thriller,Beat It,Michael Jackson,1,5,79,False,0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,258400,4
6HZILIRieu8S0iqY8kIKhj,DAMN.,DNA.,Kendrick Lamar,1,2,79,True,0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,185947,4
6eN1f9KNmiWEhpE2RhQqB5,Appetite For Destruction,Paradise City,Guns N' Roses,1,6,79,False,0.268,0.98,11,-5.959,1,0.101,0.019,0.00692,0.182,0.39,100.316,405600,4
4iJyoBOLtHqaGxP12qzhQI,Justice,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,1,12,79,True,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,4
1PtQJZVZIdWIYdARpZRDFO,Hounds Of Love,Running Up That Hill (A Deal With God),Kate Bush,1,1,79,False,0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,298933,4
2beS6dD5rovBxSA1zYoSHR,Famouz,No Me Conoce - Remix,JHAYCO; J Balvin; Bad Bunny,1,2,79,False,0.804,0.787,10,-3.824,0,0.0746,0.14,0.0,0.0927,0.562,91.974,309120,4
3jjujdWJ72nww5eGnfs2E7,Fine Line,Adore You,Harry Styles,1,3,79,False,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4
3a1lNhkSLSkpJE4MSHpDu9,Stoney (Deluxe),Congratulations,Post Malone; Quavo,1,12,79,True,0.63,0.804,6,-4.183,1,0.0364,0.215,0.0,0.253,0.492,123.146,220293,4
